epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34378,2.30436,8.30063,1.55951,0,0,0,0,1.40931,4.55187,1.04675,7e-05,7e-05,7e-05
2,13.9848,1.6126,5.96855,1.19513,0,0,0,0,1.40277,4.54061,0.94017,0.000144043,0.000144043,0.000144043
3,21.6296,1.67384,4.45622,1.20564,1,0.34146,0.67072,0.54776,1.52072,4.14422,0.95703,0.000217096,0.000217096,0.000217096
4,28.4797,1.35793,3.35178,1.00309,0.6,0.5122,0.65388,0.48405,1.31488,3.66002,0.90254,0.000289159,0.000289159,0.000289159
5,35.1089,1.52769,3.91065,1.09846,0.21849,0.63415,0.62644,0.43143,1.3661,3.00888,0.92077,0.000360232,0.000360232,0.000360232
6,41.765,1.49034,3.03293,1.02051,1,0.31548,0.75003,0.48518,1.42165,2.25409,0.92808,0.000430315,0.000430315,0.000430315
7,48.3773,1.54293,3.30713,1.08295,1,0.47426,0.82499,0.48136,1.40785,2.13853,0.93897,0.0004802,0.0004802,0.0004802
8,55.9303,1.29372,2.57256,1.00664,1,0.62788,0.80564,0.51872,1.37301,1.68321,0.98179,0.0004769,0.0004769,0.0004769
9,62.4527,1.34472,2.66225,0.9852,0.97661,0.80488,0.86966,0.55444,1.28283,1.12521,0.93634,0.0004736,0.0004736,0.0004736
10,69.5785,1.39595,2.44392,1.00822,0.99562,0.80488,0.87945,0.57648,1.31517,1.03886,0.93326,0.0004703,0.0004703,0.0004703
11,76.4151,1.22761,2.28278,0.94683,0.98954,0.80488,0.8768,0.60868,1.28677,0.89301,0.94806,0.000467,0.000467,0.000467
12,84.1018,1.3515,2.30614,1.02586,1,0.86906,0.92096,0.57702,1.27978,0.86375,0.94677,0.0004637,0.0004637,0.0004637
13,90.7204,1.24319,2.44272,0.98144,0.93449,0.85366,0.92205,0.60158,1.20137,0.84711,0.94019,0.0004604,0.0004604,0.0004604
14,97.2116,1.26878,1.8723,1.02631,1,0.82586,0.91935,0.60722,1.21049,0.81938,0.94612,0.0004571,0.0004571,0.0004571
15,103.857,1.24683,1.91218,0.95951,1,0.84939,0.91987,0.57927,1.2609,0.87241,0.94659,0.0004538,0.0004538,0.0004538
16,110.568,1.25045,2.02603,1.01101,0.97294,0.8769,0.93547,0.57925,1.27104,0.8356,0.97603,0.0004505,0.0004505,0.0004505
17,118.207,1.39694,2.23851,1.05283,0.97295,0.87722,0.95208,0.59243,1.22259,0.75643,0.99195,0.0004472,0.0004472,0.0004472
18,125.031,1.22671,1.9679,0.98486,1,0.87682,0.9309,0.61164,1.1748,0.81244,0.97553,0.0004439,0.0004439,0.0004439
19,132.317,1.14564,1.82135,0.98513,0.99291,0.90244,0.95679,0.6054,1.20795,0.83783,0.97317,0.0004406,0.0004406,0.0004406
20,139.446,1.32091,2.09086,1.03302,1,0.90114,0.96281,0.60387,1.25794,0.80914,0.98836,0.0004373,0.0004373,0.0004373
21,146.638,1.19066,1.97806,0.95858,0.99937,0.87805,0.95813,0.63899,1.16368,0.82569,0.9837,0.000434,0.000434,0.000434
22,154.885,1.15682,1.70963,0.99911,1,0.89717,0.95941,0.647,1.16814,0.7686,0.98273,0.0004307,0.0004307,0.0004307
23,162.283,1.08693,1.88213,0.95843,0.94987,0.92441,0.95181,0.64193,1.15102,0.70483,0.98555,0.0004274,0.0004274,0.0004274
24,172.335,1.10292,1.67009,0.94886,0.96775,0.92683,0.94725,0.65021,1.12663,0.68022,0.97252,0.0004241,0.0004241,0.0004241
25,184.757,1.12087,1.8055,0.93858,0.98463,0.90244,0.95003,0.64834,1.14739,0.71811,0.97648,0.0004208,0.0004208,0.0004208
26,198.522,1.19095,1.91505,0.91822,0.98943,0.90244,0.95707,0.6147,1.12161,0.70908,0.97658,0.0004175,0.0004175,0.0004175
27,211.961,1.29544,1.80892,1.03399,0.98997,0.92683,0.96288,0.67611,1.09998,0.61714,0.96893,0.0004142,0.0004142,0.0004142
28,226.963,1.20485,2.01188,0.94104,1,0.94883,0.964,0.67985,1.0856,0.6072,0.97995,0.0004109,0.0004109,0.0004109
29,241.433,1.10563,1.54298,0.92382,1,0.94772,0.96555,0.6537,1.13349,0.65519,0.99473,0.0004076,0.0004076,0.0004076
30,250.879,1.11922,1.5255,0.96121,0.99907,0.92683,0.96507,0.66187,1.12421,0.62442,0.98849,0.0004043,0.0004043,0.0004043
31,259.286,1.04863,1.45812,0.94968,1,0.94803,0.96593,0.67199,1.11852,0.63497,0.96829,0.000401,0.000401,0.000401
32,266.91,1.28405,2.18098,1.04979,0.99769,0.95122,0.96332,0.65831,1.17968,0.65447,0.98031,0.0003977,0.0003977,0.0003977
33,274.259,1.07777,1.52364,0.9497,0.9737,0.95122,0.95974,0.63528,1.18176,0.64633,0.98498,0.0003944,0.0003944,0.0003944
34,282.451,1.11032,1.49698,0.95478,0.97894,0.95122,0.96063,0.65476,1.11385,0.63636,0.96803,0.0003911,0.0003911,0.0003911
35,289.773,1.18679,1.66744,1.04247,1,0.94248,0.96246,0.65447,1.07785,0.61402,0.95723,0.0003878,0.0003878,0.0003878
36,297.15,1.12326,1.53186,1.0085,0.99838,0.92683,0.96376,0.67702,1.05075,0.58159,0.95627,0.0003845,0.0003845,0.0003845
37,304.864,1.31408,2.00833,1.02757,1,0.92539,0.96844,0.64627,1.12531,0.61478,0.97026,0.0003812,0.0003812,0.0003812
38,312.069,1.13769,1.48146,0.98089,1,0.92429,0.9686,0.65223,1.15206,0.61473,0.96977,0.0003779,0.0003779,0.0003779
