epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97256,1.72718,7.46606,1.24039,0,0,0,0,1.74484,4.60562,1.02146,8.5e-05,8.5e-05,8.5e-05
2,19.6152,1.35597,4.97131,1.09474,0,0,0,0,1.63001,4.37603,0.92769,0.000173845,0.000173845,0.000173845
3,27.9937,1.18369,3.34356,1.01466,0.96667,0.39189,0.6859,0.55375,1.51727,4.06874,0.88924,0.000261502,0.000261502,0.000261502
4,36.408,1.2063,3.45683,0.96947,0.45055,0.55405,0.63602,0.49795,1.54095,3.20752,0.95297,0.000347971,0.000347971,0.000347971
5,45.7958,1.12187,2.67768,0.90904,0.24255,0.77027,0.68455,0.47455,1.67694,2.90887,0.98969,0.000433252,0.000433252,0.000433252
6,54.7373,1.21188,2.59254,0.9922,0.94831,0.45946,0.7406,0.48745,1.6334,1.98952,1.01377,0.0004835,0.0004835,0.0004835
7,63.9967,1.07788,2.48012,0.93416,0.90018,0.60933,0.81555,0.5168,1.49961,1.56571,1.01211,0.0004802,0.0004802,0.0004802
8,72.7703,1.10887,2.39358,0.94962,0.91929,0.76965,0.83709,0.51126,1.46738,1.08048,1.02956,0.0004769,0.0004769,0.0004769
9,82.1854,1.13779,2.81526,0.94041,0.92357,0.71622,0.82337,0.49867,1.50263,0.97293,1.01647,0.0004736,0.0004736,0.0004736
10,90.5937,1.1588,2.57673,0.98024,0.83744,0.8354,0.86889,0.55586,1.40473,0.87496,1.01504,0.0004703,0.0004703,0.0004703
11,99.1703,1.08536,2.15564,0.95754,0.86903,0.80702,0.87074,0.52413,1.39745,0.8825,1.00616,0.000467,0.000467,0.000467
12,107.445,1.03822,2.06303,0.89426,0.86774,0.82432,0.84994,0.51781,1.35888,0.86381,0.99223,0.0004637,0.0004637,0.0004637
13,116.554,1.09946,2.11533,0.95635,0.88203,0.85135,0.85856,0.51867,1.33325,0.87899,0.98665,0.0004604,0.0004604,0.0004604
14,125.188,1.05161,2.11884,0.94418,0.89907,0.84271,0.89752,0.56796,1.28504,0.81865,0.98076,0.0004571,0.0004571,0.0004571
15,134.388,1.01022,1.98997,0.91247,0.91175,0.83768,0.86854,0.56312,1.27881,0.81047,0.97137,0.0004538,0.0004538,0.0004538
16,142.909,1.07644,1.91069,0.9538,0.92615,0.84741,0.88579,0.55666,1.34548,0.84112,0.98726,0.0004505,0.0004505,0.0004505
